Science;Zinātne
Pitch;Augstums
Plant nutrition and growth;Augu barība un izaugsme
The ear;Auss
Sources of resources;Avoti resursu
Asia;Āzija
Escape velocity;Bēgšanas ātrums
Friction;Berze
Beta radiation;Beta starojums
Asexual reproduction;bezdzimuma vairošanās
Free electron lasers;Bezmaksas elektronu lāzeri
Invertebrate;Bezmugurkaulnieks
Binary stars;Binārās zvaigznes
Biology;Bioloģija
Organic Agriculture;Bioloģiskā lauksaimniecība
Biomass;Biomasa
Biomes;Biomiem
Biosphere;Biosfēra
Biotechnology;Biotehnoloģija
Biotope;Biotops
Density;Blīvums
Density waves;Blīvums viļņi
Botany;Botānika
Botany ;Botānika
Brown dwarfs;Brūnie punduri
Central field;Centrālais lauks
Solid State Chemistry;Cietā State Ķīmija
Solids, liquids and gases;Cietas vielas, šķidrumi un gāzes
Rigid body;Ciets ķermenis
Human influences on ecosystems;Cilvēka ietekme uz ekosistēmām
Human patterns;Cilvēka modelis
Human processes;Cilvēka procesi
Humans and animals;Cilvēki un dzīvnieki
Human health: smoking;Cilvēku veselība: smēķēšana
Human health: teeth;Cilvēku veselība: zobi
Other influences on ecosystems;Cita ietekme uz ekosistēmām
Other types of bonding;Cita veida savienošanas
Other geomorphological processes;Citi ģeomorfoloģiskie procesi
Natural resources;Dabas bagātības
Natural resources ;Dabas bagātības
Natural phenomenon ;Dabas parādība
Natural population change;Dabiskā iedzīvotāju skaita izmaiņas
Particle detectors ;Daļiņu detektori
Particle dynamics ;Daļiņu dinamika
Particle cosmology ;Daļiņu kosmoloģija
Particle interactions with matter ;Daļiņu mijiedarbība ar vielu
Particle beam parameters ;Daļiņu staru parametri
Particle theory;Daļiņu teorija
Work and power;Darbs un jaudas
Darwin;Darvins
Gardening;Dārzkopība
Garden;Dārzs
Burning;Degšana
Mineral ;Derīgais izrakstenis
Distillation;Destilācija
Detectors;Detektori
Detectors: CCD camera;Detektori: CCD kamera
South & Central America;Dienvidamerika un Centrālamerika
Diffraction;Difrakcijas
Dynamic Shape;Dimaniskās formas
Dynamometers;Dinamometrus
Dinosaur;dinozaurs
DNA;DNS
Doppler effect;Doplera efekts
Drinking water;Dzeramais ūdens
Sex determination;Dzimuma noteikšana
Audible ranges;Dzirdamais diapazons
Hearing - generally;Dzirdēšana - vispārīgi
Hearing: noise;Dzirdēšana: troksnis
Life cycle;Dzīves cikls
Life processes;Dzīvības procesi
Animal;Dzīvnieks
Food as fuel;Ēdiens kā degviela
Einstein ring;Einšteina gredzeni
European Union;Eiropas Savienība
European countries outside the European Union;Eiropas valstis ārpus Eiropas Savienības
Ecology;Ekoloģija
Ecology ;Ekoloģija
Classifications of economic activity;Ekonomiskās aktivitātes klasifikācija
More economically developed countries;Ekonomiski attīstītās valstis
Less economically developed countries;Ekonomiski mazāk attīstītās valstis
Ecosystem ;Ekosistēma
Ecosystems;Ekosistēmas
Exo/endothermic;Ekso / endotermisks
Extrasolar planets;Ekstrasolārās planētas
Elastic collision;Elastīga sadursme
Electricity ;Elektrība
Electricity and magnetism;Elektrība un magnētisms
Electrical heating and costs;Elektriskā apkure un izmaksas
Electrical resistance/conductivity;Elektriskā pretestība / vadītspēja
Electric current;Elektriskā strāva
Electrical quantities - generally;Elektriskais daudzums - kopumā
Electric charge - generally;Elektriskais lādiņš - vispārīgi
Electric field;Elektriskais lauks
Electric force;Elektriskais spēks
Electrical energy ;Elektroenerģija
Electricity generation/National Grid;Elektroenerģijas ražošana / National Grid
Electrochemistry;Elektroķīmija
Electrolysis;Elektrolīze
Electromagnetic field;Elektromagnētiskais lauks
Electromagnetic spectrum;Elektromagnētiskais spektrs
Electromagnetism - generally;Elektromagnētisma - vispārīgi
Electric motors;Elektromotori
Electrons – generally;Elektroni - vispār
Role of electrons in reactions;Elektronu loma reakcijā
Electrostatic phenomena and uses;Elektrostatiskās parādības un pielietojums
Electrostatic forces;Elektrostatiskie spēk
Mains electricity - generally;Elektrotīkla elektrība - vispārīgi
Mains electricity safety;Elektrotīkla elektrības drošība
Elements;Elementi
Elliptical galaxy;Elipsveida galaktika
Oil ;Eļļa
Endocrine System;Endokrīnā sistēma
Energy - using electricity;Enerģētika - izmantojot elektrību
Energy;Enerģija
Energy ;Enerģija
Energy and ecosystems;Enerģija un ekosistēmas
Energy transfer and storage;Enerģijas pārnese un glabāšana
Energy production and energy resources research;Enerģijas ražošana un enerģijas resursu pētniecības
Energy resources;Energoresursi
Entropy;Entropija
Epithelial;Epitēlija
Erosion;Erozija
Evolution - generally;Evolūcija - vispār
Lake ;Ezers
Factors influencing development;Faktori, kas ietekmē attīstību
Pharmaceutics;Farmācija
Phase;Fāze
Phases;Fāzes
Enzymes;Fermenti
Filtration;Filtrācija
Physics;Fizika
Physical chemistry;Fizikālā ķīmija
Physical changes;Fizikālās izmaiņas
Physical constants ;Fiziskās konstantes
Physical patterns;Fiziskas modelis
Physical processes;Fiziskie procesi
Background radiation;Fona starojums
Fossil fuels;Fosilais kurināmais
Fossil record;Fosīlie ieraksti
Fossil resources - generally;Fosīlie resursi- vispārīģi
fossil ;fosilija
Fossil resources - generally;Fosilo resursi- vispārīgi
Photography and cinematography;Fotogrāfija un kino
Photosynthesis;Fotosintēz
Wave frequency;Frekvence
Foucault pendulum;Fuko svārsts
Seasons;Gadalaiki
Air resistance;Gaisa pretestība
Light;Gaisma
Light sources;Gaismas avoti
Properties of light - generally;Gaismas īpašības - vispārīgi
Light curve;Gaismas līkne
air ;gaiss
Galaxy clusters;Galaktikas kopas
Galaxies and Dwarf galaxies;Galaktikas un Punduru galaktikas
Galactic wind;Galaktikas vējš
Main sequence;Galvenā secība
Gamma rays;Gamma stari
Gamma radiation;Gamma starojums
Gamma ray bursts;Gamma staru pārrāvumi
Longitudinal waves;Garenvirziena viļņi
Gas;Gāze
Gas pressure and diffusion;Gāzes spiediens un izplatīšanās
Generators and transformers;Ģeneratori un transformatori
Genetics;Ģenētika
Genetic engineering;Ģenētiskā inženierija
Genetic causes of variation and mutation;Ģenētiskie cēloņi variācijās un mutācijās
Genome;Genoma
Geophysical environment;Ģeofizikas vide
Geography;Ģeogrāfija
Geography and Earth Science;Ģeogrāfijas un Zemes zinātne
Geographical distribution of economic activity;Ģeogrāfiskā izplatība saimnieciskās darbības
Geographical variations in weather & climate;Ģeogrāfiskās atšķirības laika apstākļos un klimatā
geology ;ģeoloģija
geological phenomenon ;ģeoloģiskais fenomens
geomorphologic phenomenon ;ģeomorfoloģiskā parādība
Geomorphological processes - general information;Ģeomorfoloģiskie procesi - vispārīga informācija
Giants;Giganti
GIS;ĢIS
Global distribution of tectonic activity;Globālā izplatīšanās tektoniskās aktivitātes dēļ
Globes;Globusi
Gravitational field;Gravitācijas lauks
Gravitational lenses;Gravitācijas lēcas
Gravitational force and gravity;Gravitācijas spēks un smagums
Digestive System;Gremošanas sistēma
Grouping materials;Grupējamie materiāli
Hubble expansion;Habla paplašināšana
Halogens;Halogēniem
Halos;Halos
Hertzsprung-Russell diagram;Hertzsprunga-Rasela diagramma
Heterocyclic Compounds;Heterocikliskie savienojumi
Hydroelectric power plant ;Hidroelektrostacija
Higgs particle ;Higsa daļiņa
HII region;HII reģions
Horizontal throw;Horizontāli mests
Horology;Horoloģija
Chromatography;hromatogrāfija
Chromosomes;Hromosomas
Population distribution;Iedzīvotāju sadalījums
Population change;Iedzīvotāju skaita izmaiņas
Population & resources;Iedzīvotāju skaits un resursi
Internal Energy;Iekšējā enerģija
Internal Structure;Iekšējā struktūra
Effects of resource use;Ietekme resursu izmantošanas
Rock types;Iežu veidi
Everyday materials;Ikdienas materiāli
Conservation of momentum;Impulsa saglabāšana
Impulse;Impulss
Inertia;Inerce
Moment of inertia;Inerces moments
Inflation;Inflācija
Information transmission, analogue and digital signals;Informācijas pārraide, analogo un ciparu signāli
Infrared;Infrasarkanā
Tools for science;Instrumenti zinātnē
Insulin;Insulīns
Invariant mass ;Invariantu masa
Properties of materials;Īpašības materiāliem
Isovolumetric ;Isovolumetrisks
Origin and evolution of the universe;Izcelsme un attīstība no Visuma
Education for sustainable development ;Izglītība ilgtspējīgai attīstībai
Variation – generally;Izmaiņas - vispār
Changes in distribution of economic activity & their impact;Izmaiņas saimnieciskās darbības izplatīšanā un to ietekme
Changes of state;Izmaiņas stāvoklī
Extinction;izmiršana
Isothermal;Izotermisks
Minerals;Izrakteņi
Displacement reactions;izspiešanas reakcija
Jets;Jets
Ionic bonds;jonu saites
Sea ;Jūra
Mining;Kalnrūpniecība
Mining ;Kalnrūpniecība
Mountain;Kalns
Mountain ;Kalns
Calorimeters ;Kalorimetri
Maps & plans;Kartes un plāni
cartography;kartogrāfija
Catalysts;Katalizatori
Catastrophe ;Katastrofa
Kepler's laws;Keplera likumi
Ceramics production;Keramikas ražošana
Chemistry;Ķīmija
Chemical Kinetics;Ķīmiskā Kinētika
Chemical Thermodynamics;Ķīmiskā Termodinamika
Chemical changes;Ķīmiskas izmaiņas
Chemical Reactions;Ķīmiskās reakcijas
Kinetic energy;Kinētiskā enerģija
Classification/keys;Klasifikācija / atslēgas
Climatic influences on ecosystems;Klimata ietekme uz ekosistēmu
Climatic phenomenon ;Klimatiskā parādība
Climate;Klimats
Climate ;Klimats
Cloning, selective breeding and genetic engineering;Klonēšana, selektīvās pavairošanas un gēnu inženierija
Nuclear fission;Kodolenerģijas dalīšanās
Nuclear force;Kodolenerģijas spēks
Nuclear physics;Kodolfizika
Nuclear decay;Kodolreakcijas sabrukšana
Nucleus: protons, neutrons;Kodols: protons, neitrons
Nuclear fusion;Kodolsintēze
Kuiper belt objects;Koipera joslas objekti
Tree;Koks
Wood ;Koks
Wood production;Koksnes ražošana
Comets and meteors;Komētas un meteorīti
Components in circuits: batteries, etc;Komponenti ķēdēs: akumulatori, uc
Conservative force field;Konservatīvā spēka lauks
Coordinates;Koordinātas
Cosmic background radiation;Kosmiskā fona starojums
Cosmic rays;Kosmiskie stari
Cosmology;Kosmoloģija
Space ships;Kosmosa kuģi
Space-Time Information;Kosmosa- laika informācija
Space-time symmetries ;Kosmosa laika simetrijas
Space stations;Kosmosa stacijas
Colour;Krāsa
Coasts;Krasts
Crater;Krāteris
Insect;Kukainis
Coulomb law;Kulona likums
Stomach acid and bile;Kuņģa skābes un žults
Stomach;Kuņģis
Melting/boiling points;Kušanas / viršanas punkti
Quantum Chemistry;Kvantu ķīmija
Quarks & hadrons ;Kvarki un hadrons
Quasars;Kvazāri
Laboratory equipment – generally;Laboratorijas iekārtas - vispārīgi
Laboratory measuring instruments, including sensors and meters;Laboratorijas mērīšanas instrumenti, tostarp sensorie un skaitītāji
Laboratory glassware;Laboratorijas trauki
Charge;Lādiņš
Weather;Laiks
Leaf;Lapa
Fields;Lauki
Rural settlements;Lauku apmetnes
Fieldwork equipment;Lauku darbu iekārtas
Angular velocity;Leņķa ātrums
Angular acceleration;Leņķiskais paātrinājums
Leptons ;Leptons
Space flight;lidojumi kosmosā
Plain ;Līdzenums
Grand unification ;Lielā unifikācija
Big Bang;Lielais sprādziens
Globular clusters;Lodveida zvaigžņu kopas
Lorentz force;Lorenca spēks
Supersymmetry ;Ļoti simetrisks
Luminescent;Luminiscējošs
Magnetic field;Magnētiskais lauks
Magnetic materials;Magnētiskie materiāli
Magnetic force;Magnētisks spēks
Magnetism - generally;Magnētisms - vispārīgi
Variable stars;Mainīgās zvaigznes
Mixtures;Maisījumi
Domestic animal;Mājdzīvnieks
Maxwell's equations;Maksvela vienādojumi
Senses;Maņas
Mass;Masa
Mass;Masa
Centre of mass;Masas centrs
Conservation of mass;Masas saglabāšana
Mass loss;Masas zudums
Machines;Mašīnas
Obtaining and using materials;Materiālu iegūšana un izmantošana
Material Science;Materiālzinātne
Meiosis;mejozes
Tongue;Mēle
Black holes;Melnais caurums
Moon;Mēness 
Lunar eclipse;Mēness aptumsums
Phases of the Moon;Mēness fāzes 
Menstrual cycle;Menstruālais cikls
Fertilisation;Mēslošana
Metal processing;Metāla apstrāde
Extraction of metal from ore;Metāla ieguve no rūdas
Metal complexes;Metāla kompleksi
Metals – generally;Metāli - vispār
Metals - generally;Metāli - vispārīgi
Meteorite;Meteorīts
Meteorology ;Meteoroloģija
Meteor;Meteors
Forestry;Mežkopība
Forest ;Mežs
Nebula;Miglājs
Migration;Migrācija
Microbiology ;Mikrobioloģija
Microlensing effect;Mikrolensinga efekts
Micro-organism ;Mikroorganisms
Microscope;Mikroskops
Microwaves;Mikroviļņi
Mineralogy ;Mineraloģija
Mitosis;mitozes
Patterns in reactions;Modeļu reakcija
Molecules – generally;Molekulas - vispār
Moments;Moments
Monohybrid inheritance;Monohibrīdā pārmantošana
Vertebrate;Mugurkaulnieks
Muscles;Muskuļi
Musical instruments;Mūzikas instrumenti
National park ;Nacionālais parks
Nanotechnology;Nanotehnoloģija
Nautical tools;Navigācijas rīki
Inelastic collision;Neelastīga sadursme
Neutron stars;Neitronu zvaigznes
Inorganic chemistry ;Neorganiskā ķīmija
Irregular galaxy;Neregulāra galaktika
Nerve;Nervi
Nervous system ;Nervu sistēma
Useful substances from rocks and minerals;Noderīgas vielas no iežiem un minerāliem
Useful substances from rocks & minerals;Noderīgas vielas no klintīm un minerāliem
Useful materials and products;Noderīgi materiāli un izstrā'dajumi
Nucleosynthesis;Nukleo sintēze
Newton's laws;Ņūtona likumi
Observatories;Observators
Carbon and nitrogen cycles;Oglekļa un slāpekļa cikls
Carbon;Ogleklis
Hydrocarbons;Ogļūdeņraži
Oceania;Okeānija
Ocean ;Okeāns
Oxidation and reaction;Oksidēšana un reakcija
Ova;olšūnas
Optics;Optika
Orbit;Orbīta
Organs;Orgāni
Organic chemistry;Organiskā ķīmija
Organic Biology;Organiskās Bioloģija
Organic Reaction;Organiskās reakcijas
Organic Polymers;Organiskie polimēri
Port ;Osta
Second scientific revolution;Otrs zinātniskā revolūcija
Acceleration;Paātrinājums
Accelerators;Paātrinātāji
Accelerators & beams ;Paātrinātāji un sijas
Tides;Paisumi un bēgumi
Palaeontology ;Paleontoloģija
Paper production;Papīra ražošana
Parallel circuits;Paralēlais slēgums
Parasite;Parazīts
Transition metals;Pārejas metāli
Deposition;Pārklāšana
Inheritance - generally;Pārmantošana - vispār
Inherited diseases;Pārmantošana -slimības
Recycling ;Pārstrādāšana
Food chain;Pārtikas ķēde
Food chains and webs;Pārtikas ķēdes un tīkli
Global scale;Pasaules mērogā
Periodic table;Periodiskā tabula
Period;Periods
Explorer;Pētnieks
Milky Way;Piena ceļš
Pollution ;Piesārņojums
First scientific revolution;Pirmā zinātniskā revolūcija
Planetary nebula;Planetārais miglājs
Planets;Planētas
Planning & management of resources;Plānošanas un resursu pārvaldība
Plastics/polymers;Plastmasas / polimēri
Meadow;Pļava
Covalent bonds;polimēru
Potential energy;Potenciālā enerģija
Potential;Potenciāls
Goods & services;Preces un pakalpojumi
Conflicting demands on environments;Pretrunīgas prasības vidē
Processes in general;Procesi kopumā
Lifecycle of products;Produkta dzīves cikls
Projection;Projekcija
Puberty/adolescence;Pubertāte / pusaudža vecums
Pulsars;Pulsārs
Half-life;Pussabrukšana
Dust;Putekļi 
Bird;Putns
QCD, jets & gluons ;QCD, sprauslas un gluons
Radiation transfer;Radiācijas nodošana
Radioactivity;Radioaktivitāte
Uses of radioactivity, including radioactive dating;Radioaktivitātes izmantošana
Radio waves;Radioviļņi
Rockets;Raķetes
Patterns in general;Raksti kopumā
Writing ad press;Rakstot reklāmu presē
Transport of reactants/products;Reaģentu transports/ produktu
Reactions with metals;Reakcijas ar metāliem
Reaction rates;Reakcijas līkmes
Reactivity series;Reaktivitātes sērija
Visible light;Redzamā gaisma
Refraction;Refrakcija
Refraction index;Refrakcijas indeksu
regional geography ;reģionālā ģeogrāfija
Regional scale;Reģionālā mērogā
regional language ;reģionālā valoda
Theory of relativity;Relativitātes teorija
X-rays;Rentgena stari
Reproductive system;Reproduktīvā sistēma
Reptile;Reptilis
Supply of resources;Resursu piegāde
Aurora;Rīta blāzma
Robotics;Robotika
Rotation;Rotācija
Rotation curve;Rotācija līkne
Industrial devices;Rūpnieciskās iekārtas
Collision;Sadursme
Domestic appliances;Sadzīves tehnika
Conservation and dissipation;Saglabāšana un izkliede
Types of economic activity;Saimnieciskās darbības veidi
Root hair;saknes matiem
Island ;Sala
Redshift;Sarkanā nobīde
Alkali metals;Sārmu metāli
Satellites: natural satellites;Satelīti: dabiskie satelīti
Satellites: artificial satellites;Satelīti: mākslīgie pavadoņi
Satellite images;Satelītuzņēmumi
Sun;Saule
Solar activity;Saules aktivitāte
Solar eclipse;Saules aptumsums
Sunspots;Saules plankumus
Solar system;Saules sistēma
Solar-terrestrial relations;Saules-zemes attiecības
Compounds - generally;Savienojumi - vispār
Bonding – generally;Savienošanas- vispār
wild animal ;Savvaļas dzīvnieks
Seismic waves;Seismiskie viļņi
seismology;seismoloģija
Seeds;Sēklas
Sensors;Sensori
Series circuits;Sērija shēmas
Circuits - generally;Shēmas - vispārīgi
Greenhouse effect ;Siltumnīcas efekts
Synchrontron radiation ;Sinhronais starojums
Heart;Sirds
Cardiovascular;Sirds un asinsvadu
acid rain ;skābais lietu
Acid rain ;Skābais lietus
Acids, alkalis and bases;Skābes, sārmi un bāzes
Loudness;Skaļums
Sound;Skaņa
Sound ;Skaņa
Sound sources;Skaņas avoti
Sound techniques;Skaņas metodes
Properties of sound - generally;Skaņu īpašības - vispārīgi
Skeleton and muscles;Skelets un muskuļi
Transverse waves;Šķērsvirziena viļņi
Solubility;Šķīdība
stratum;slānis
Nitrogenous fertilizers;Slāpekļa minerālmēsli
Weathering;Slīpums
Brain;Smadzenes
social geography ;sociālā ģeogrāfija
Forces and motion;Spēki un kustības
Sperm;sperma
Pressure;Spiediens
Spiral galaxy;spirālveida galaktika
Standard model ;Standarta modelis
Radiation;Starojums
Intergalactic medium;Starpgalaktiku vidējais
International scale;Starptautiskā mērogā
Interstellar medium;Starpzvaigžņu
Statistical mechanics;Statistikā mehānika
Glass production;Stikla ražošana
Stimulus and response;Stimuls un reakcija
Cell processes - generally;Šūnu procesi - vispār
Cell structure;Šūnu struktūra
Cell types – other;Šūnu tipi, - citi
Cell types - generally;Šūnu veidi - kopumā
Supernova;Supernova
Supernova remnants;Supernovu paliekas
Weight;Svars
Oscillations;Svārstības
Pendulum;Svārsts
Rectilinear motion;Taisnvirziena kustība
Taxonomy;taksonomija
Remote Laboratories;Tālvadības Laboratorija
Technological applications;Tehnoloģiskie pieteikumi
Textiles;Tekstilpreces
Tectonic hazards & human responses;Tektoniskais apdraudējums un cilvēka atbildes reakcija
Tectonic processes;Tektoniskie procesi
Telecommunications;Telekomunikācijas
Spatial interpolation;Telpiskā interpolācija
Spatial heterogeneity;Telpiskā neviendabīgums
Spatial information;Telpiskās informācija
Spatial properties;Telpiskās īpašības
Spatial interactions;Telpiskās mijiedarbības
Spatial transformations;Telpiskās pārvērtības
Temperature and heat;Temperatūras un siltums
Thermal decomposition;Termiskā sadalīšanās
Thermodynamics;Termodinamika
Laws of Thermodynamics;Termodinamikas likumi
Thermodynamic Cycle;Termodinamiskais cikls
Thermometers;Termometri
Online Laboratories;Tiešsaites Laboratorija
Toxin;toksīns
Transport and water in plants;Transportēšana un ūdens augos
Transport (air, water and ground);Transports (gaisa, ūdens un zemes)
Noise ;Troksnis
Desert ;Tuksnesis
Dark energy;Tumšā enerģija
Dark matter;Tumšā matērija
Dark matter ;Tumšā matērija
Water;Ūdens
Water ;Ūdens
Water cycle;Ūdens cikls
Water, landscapes & people - general information;Ūdens, ainavas un cilvēki - vispārīgā informācija
Watercourse;Ūdenstece
Watercourse ;Ūdenstece
Ultrasound;Ultraskaņa
Ultraviolet;Ultravioletie
Universal law of gravitation;Universālais gravitācijas likums
Rivers;Upes
Charged particle acceleration ;Uzlādē daļiņu paātrinājumu
Nutrition and digestion - generally;Uzturs un gremošana - parasti
Conduction, convection and evaporation;Vadīšanas, konvekcijas un iztvaikošana
Reproduction;Vairošanās
Weak interactions: quarks & leptons;Vājās mijiedarbība: kvarki un Leptons
Weak interactions: electroweak ;Vājās mijiedarbības: electrovājšs
States of matter;Valsts matērija
National scale;Valsts mēroga
Formation;Veidošana
Vertical throw;Vertikāli mest
History of Science and Technology;Vēstures un Zinātnes tehnoloģijas
Variation, inheritance and evolution;Vibrācijas,pārmantošana un evolūcija
Environment;Vide
Environmental protection ;Vides aizsardzība
Environmental education ;Vides izglītība
Environmental issues;Vides jautājumi
Equations and formulae;Vienādojumi un formulas
Reference Frame;Vieta atsaucēm
Local scale;Vietējā mēroga
Wave amplitude;Viļņa amplitūda
Wavelength;Viļņa garums
Waves;Viļņi
Wave speed;Viļņu ātrums
Wave characteristics - generally;Viļņu īpašības - vispārīgi
Surface;Virsma
Universe – generally;Visums - vispārīgi
Vision;Vīzija
Voltage;Voltāža
Volcanoes;Vulkāni
Volcano ;Vulkāns
Earth;Zeme
Near-earth objects;Zemei tuvie objekti
Landforms;Zemes formas
Land use;Zemes izmantošana
exploration of the earth ;Zemes izpēte
Earth science;Zemes zinātne
Earthquakes;Zemestrīces
Mammal;Zīdītājs
Flowering plants/parts of plants;Ziedoši augi / augu daļas,
Flower;Zieds
North America;Ziemeļamerika
Science: historical and contemporary examples;Zinātne: vēsturiskie un mūsdienu piemēri
Scientists and inventors;Zinātnieki un izgudrotāji
Arachnid;Zirnekļveidīgs
Fish ;Zivs
Teeth;Zobi
Zodiacal light;Zodiaka gaismas
Zodiac;Zodiaks
Zoology ;Zooloģija
Constellations;Zvaigznāji
Stars;Zvaigznes
Star chart;zvaigžņu diagramma
Fishery;Zvejniecība

