Science;Φυσικές Επιστήμες
Solubility;διαλυτότητα
Longitudinal waves;Διαμήκη κύματα
Space flight;Διαστημική πτήση
Space stations;Διαστημικοί σταθμοί
Space ships;Διαστημόπλοια
Interstellar medium;διαστρικό μέσο
Conservation and dissipation;Διατήρηση και έκλυση
Conservation of mass;Διατήρηση της μάζας
Conservation of momentum;Διατήρηση της ορμής
Differences in development within countries;Διαφορές στην ανάπτυξη εντός των χωρών
Differences in development between countries;Διαφορές στην ανάπτυξη μεταξύ  χωρών
Variation – generally;Διαφοροποίηση - γενικά
Variation, inheritance and evolution;Διαφοροποίηση, κληρονομικότητα και εξέλιξη
Waste management ;Διαχείριση αποβλήτων
Separation - other;Διαχωρισμός - άλλα
Separation - generally;Διαχωρισμός - γενικά
International scale;Διεθνή κλίμακα
Processes in general;Διεργασίες -γενικά
Filtration;διήθηση
Teeth;δόντια
Satellite images;Δορυφορικές εικόνες
Satellites: artificial satellites;Δορυφόροι: τεχνητοί δορυφόροι
Satellites: natural satellites;Δορυφόροι: φυσικοί δορυφόροι
Forces and motion;Δυνάμεις και κίνηση
Lorentz force;Δύναμη Λόρεντζ
Potential energy;Δυναμική ενέργεια
Coupled Motion dynamics ;Δυναμική συζευγμένων κινήσεων
Particle dynamics ;Δυναμική σωματιδίων
Potential;Δυναμικό
Dynamic Shape;Δυναμικό σχήμα
Dynamometers;Δυναμόμετρα
Transverse waves;Εγκάρσια κύματα
Brain;εγκέφαλος
National scale;Εθνική κλίμακα
National park ;Εθνικό πάρκο
Pendulum;εκκρεμές
Foucault pendulum;εκκρεμές του Φουκώ
Eclipses;Εκλείψεις
Education for sustainable development ;Εκπαίδευση για την αειφόρο ανάπτυξη
Extraction of metal from ore;Εκχύλιση του μετάλλου από το μετάλλευμα
Elastic collision;Ελαστική κρούση
Menstrual cycle;εμμηνορροϊκός κύκλος
AC/DC;Εναλλασσόμενο και συνεχές ρεύμα
Deposition;Εναπόθεση
Endocrine System;ενδοκρινικό σύστημα
Energy;Ενέργεια
Energy ;Ενέργεια
Energy - using electricity;Ενέργεια από ηλεκτρισμό
Energy and ecosystems;Ενέργεια και οικοσυστήματα
Enzymes;Ένζυμα
Unification ;Ενοποίηση
Insect;έντομο
Entropy;Εντροπία
Compounds - generally;Ενώσεις - γενικά
Evolution - generally;Εξέλιξη - γενικά
exploration of the earth ;εξερεύνηση της γης
Explorer;εξερευνητής
Equations and formulae;Εξισώσεις και τύποι
Maxwell's equations;Εξισώσεις Μάξγουελ
Fieldwork equipment;Εξοπλισμός εργασίας πεδίου
Mining ;Εξόρυξη
Extraterrestrial life;Εξωγήινη ζωή
Exo/endothermic;Εξώθερμες και ενδόθερμες
Metal processing;Επεξεργασία μετάλλων
Epithelial;Επιθήλιο
Effects of resource use;Επιπτώσεις της χρήσης των πόρων
Soil influences on ecosystems;Επιρροές του εδάφους στα οικοσυστήματα
Material Science;Επιστήμη των Υλικών
Science: historical and contemporary examples;Επιστήμη: ιστορικά και σύγχρονα παραδείγματα
Scientists and inventors;Επιστήμονες και εφευρέτες
Tools for science;Επιστημονικά Όργανα
Acceleration;επιτάχυνση
Charged particle acceleration ;Επιτάχυνση φορτισμένων σωματιδίων
Accelerators;Επιταχυντές
Accelerators & beams ;Επιταχυντές & Δέσμες
Surface;Επιφάνεια
Seasons;Εποχές
Analysis Tools;Εργαλεία Ανάλυσης
Laboratory measuring instruments, including sensors and meters;Εργαστηριακά όργανα μέτρησης, συμπεριλαμβανομένων αισθητήρων και μέτρων
Stimulus and response;Ερέθισμα και αντίδραση
Desert ;έρημος
Reptile;Ερπετά
Internal Structure;Εσωτερική δομή
Internal Energy;εσωτερική ενέργεια
Heterocyclic Compounds;ετεροκυκλικές ενώσεις
Rectilinear motion;ευθύγραμμη κίνηση
European countries outside the European Union;Ευρωπαϊκές χώρες εκτός της Ευρωπαϊκής Ένωσης
European Union;Ευρωπαϊκή Ένωση
Puberty/adolescence;Εφηβεία / εφηβεία
Zodiacal light;Ζωδιακό φως
Zodiac;Ζωδιακός κύκλος
Life processes;Ζωικές διαδικασίες
Animal;ζώο
Zoology ;Ζωολογία
Electrical quantities - generally;Ηλεκτρικές ποσότητες - γενικά
Electrical resistance/conductivity;Ηλεκτρική αντίσταση / αγωγιμότητα
Electric force;ηλεκτρική δύναμη
Electrical energy ;ηλεκτρική ενέργεια
Electrical heating and costs;Ηλεκτρική θέρμανση και κόστος της
Electric current;Ηλεκτρικό ρεύμα
Electric charge - generally;Ηλεκτρικό φορτίο - γενικά
Electricity ;ηλεκτρισμός
Electricity and magnetism;Ηλεκτρισμός και μαγνητισμός
Electric motors;Ηλεκτροκινητήρες
Electrolysis;ηλεκτρόλυση
Electromagnetic spectrum;Ηλεκτρομαγνητικό φάσμα
Electromagnetism - generally;Ηλεκτρομαγνητισμός - γενικά
Electrons – generally;Ηλεκτρόνια - γενικά
Electrostatic phenomena and uses;Ηλεκτροστατικά φαινόμενα και χρήσεις τους
Electrostatic forces;Ηλεκτροστατικές δυνάμεις
Electrochemistry;Ηλεκτροχημεία
Sunspots;Ηλιακές κηλίδες
Solar activity;Ηλιακή δραστηριότητα
Solar eclipse;Ηλιακή έκλειψη
Sun;Ήλιος
Half-life;Ημιζωή
Volcanoes;Ηφαίστεια
Volcano ;ηφαίστειο
Sound;Ήχος
Sound ;Ήχος
Sea ;θάλασσα
Calorimeters ;Θερμιδόμετρα
Thermal decomposition;Θερμική διάσπαση
Thermodynamics;θερμοδυναμική
Thermodynamic Cycle;Θερμοδυναμικός κύκλος
Temperature and heat;Θερμοκρασία και θερμότητα
Thermometers;Θερμόμετρα
Location of settlements;Θέση των οικισμών
Theory of relativity;Θεωρία της σχετικότητας
Mammal;θηλαστικό ζώο
Noise ;Θόρυβος
Plant nutrition and growth;Θρέψη των φυτών και  ανάπτυξη
Properties of sound - generally;Ιδιότητες του ήχου - γενικά
Properties of materials;Ιδιότητες ύλης
Insulin;ινσουλίνη
Isothermal;Ισόθερμος
Isovolumetric ;Ισοογκομετρικός
Tissues;Ιστοί
History of Science and Technology;Ιστορία της Επιστήμης και Τεχνολογίας
Standard model ;Καθιερωμένο μοντέλο
Weather;Καιρός
Rotation curve;Καμπύλη περιστροφής
Heart;καρδιά
Cardiovascular;Καρδιαγγειακά
Fruit;καρπός
Fossil record;Καταγραφή απολιθωμάτων
Vertical throw;Κατακόρυφη βολή
Catalysts;Καταλύτες
Population distribution;Κατανομή πληθυσμού
States of matter;Καταστάσεις της ύλης
Catastrophe ;καταστροφή
Domestic animal;Κατοικίδια ζώα
Burning;καύση
Quasars;Κβάζαρ - ημιαστέρας
Quantum Chemistry;Κβαντική Χημεία
Central field;Κεντρικό πεδίο
Centre of mass;Κέντρο μάζας
Garden;κήπος
Gardening;κηπουρική
Hazards/geomorphological;Κίνδυνοι / γεωμορφολογικής
Hazards & human responses;Κίνδυνοι και ανθρώπινες αντιδράσεις
Kinetic energy;Κινητική ενέργεια
Inherited diseases;Κληρονομικές ασθένειες
Inheritance - generally;Κληρονομικότητα - γενικά
Climate;Κλίμα
Climate ;Κλίμα
Climatic influences on ecosystems;Κλιματικές επιδράσεις στα οικοσυστήματα
Climatic phenomenon ;κλιματικό φαινόμενο
Climatic phenomenon ;κλιματολογικό φαινόμενο
Cloning, selective breeding and genetic engineering;Κλωνοποίηση, επιλεκτική αναπαραγωγή και γενετική μηχανική
social geography ;κοινωνική γεωγραφία
Cosmic rays;Κοσμικές ακτίνες
Cosmology;Κοσμολογία
Quarks & hadrons ;Κουάρκ & αδρόνια
Crater;Κρατήρας
Collision;Κρούση
Circular motion;κυκλική κίνηση
Life cycle;κύκλος ζωής
Lifecycle of products;Κύκλος ζωής των προϊόντων
Water cycle;Κύκλος του νερού
Transport and water in plants;Κυκλοφορία και νερό στα φυτά
Circulatory System;Κυκλοφορικό σύστημα
Circuits - generally;Κυκλώματα - γενικά
Parallel circuits;Κυκλώματα σε παραλληλία
Series circuits;Κυκλώματα σε σειρά
Waves;Κύματα
Density waves;Κύματα πυκνότητας
Cell processes - generally;Κυτταρικές λειτουργίες - γενικά
Cell structure;Κυτταρική δομή
QCD, jets & gluons ;ΚΧΔ, πίδακες & γκλουόνια
Hearing - generally;Λειτουργία της ακοής - γενικά
Leptons ;Λεπτόνια
Meadow;λιβάδι
Less economically developed countries;Λιγότερο αναπτυγμένες οικονομικά χώρες
Port ;λιμάνι
Lake ;λίμνη
Flower;Λουλούδι
Magnetic materials;Μαγνητικά υλικά
Magnetic force;Μαγνητική δύναμη
Magnetism - generally;Μαγνητισμός - γενικά
Mass;μάζα
Mass;μάζα
Grand unification ;Μεγάλη ενοποίηση
Mixtures;μείγματα
Meiosis;Μείωση
Changes of state;Μεταβολές κατάστασης της ύλης
Information transmission, analogue and digital signals;Μετάδοση πληροφορίας, αναλογικά και ψηφιακά σήματα
Metals – generally;Μέταλλα - γενικά
Transition metals;μέταλλα μετάβασης
Metal complexes;μεταλλικά σύμπλοκα
Migration;Μετανάστευση
Redshift;Μετατόπιση στο ερυθρό 
Radiation transfer;Μεταφορά ακτινοβολίας
Transport of reactants/products;Μεταφορά αντιδραστηρίων / προϊόντων
Energy transfer and storage;Μεταφορά και αποθήκευση ενέργειας
Transport (air, water and ground);Μεταφορές (εναέριες, υδάτινες και επίγειες)
Meteorite;Μετεωρίτης
Meteor;Μετέωρο
Meteorology ;μετεωρολογία
Inelastic collision;Μη ελαστική (ανελαστική) κρούση
Wavelength;Μήκος κύματος
Machines;Μηχανές
Microlensing effect;Μικροβαρυτικοί φακοί
Microbiology ;μικροβιολογία
Microwaves;Μικροκύματα
Micro-organism ;Μικροοργανισμοί
Microscope;Μικροσκόπια
Mitosis;Μίτωση
Monohybrid inheritance;Μονοϋβριδική κληρονομικότητα
Molecules – generally;Μόρια - γενικά
Grouping materials;Μορφές ύλης
Patterns in general;Μοτίβα - γενικά 
Muscles;μύες
Nanotechnology;Νανοτεχνολογία
Nautical tools;Ναυτικά εργαλεία
Water;Νερό
Water ;νερό
Water, landscapes & people - general information;Νερό, τοπία και άνθρωποι - γενικές πληροφορίες
Nervous system ;Νευρικό σύστημα
Nerve;νεύρο
Nebula;Νεφέλωμα
Island ;νησί
Nitrogenous fertilizers;Νιτρικά λιπάσματα
Laws of Thermodynamics;Νόμοι της Θερμοδυναμικής
Kepler's laws;Νόμοι του Κέπλερ
Newton's laws;Νόμοι του Νεύτωνα για την κίνηση
Ampere's law;Νόμος του Αμπέρ
Coulomb law;Νόμος του Κουλόμπ
South & Central America;Νότια και Κεντρική Αμερική
Wood ;ξύλο
Renewable energy;Οι ανανεώσιμες πηγές ενέργειας
Domestic appliances;Οικιακές συσκευές
Settlements: change;Οικισμοί: αλλαγή
Settlements: size/character/function;Οικισμοί: μέγεθος / χαρακτήρας / λειτουργίας
Ecology ;Οικολογία
Ecology;Οικολογία 
Ecosystem ;Οικοσύστημα
Ecosystems;Οικοσυστήματα
Acids, alkalis and bases;Οξέα, αλκάλια και βάσεις
Oxidation and reaction;Οξείδωση και αντίδραση
Acid rain ;Όξινη βροχή
Optics;Οπτική
Visible light;Ορατή ακτινοβολία
Organs;όργανα
Organic Polymers;οργανικά πολυμερή
Organic Reaction;Οργανική Αντίδραση
Organic Biology;Οργανική Βιολογία
Organic chemistry;Οργανική Χημεία
Horizontal throw;Οριζόντια βολή
Moments;Ορμές
Minerals;ορυκτά
Fossil fuels;Ορυκτά καύσιμα
Mineral ;ορυκτό
Fossil resources - generally;Ορυκτοί πόροι - γενικά
Mineralogy ;ορυκτολογία
Mining;Ορυχεία
Global distribution of tectonic activity;Παγκόσμια κατανομή τεκτονικής δραστηριότητας
Global scale;Παγκόσμια κλίμακα
Universal law of gravitation;Παγκόσμιος νόμος βαρύτητας 
Pancreas;Πάγκρεας
Palaeontology ;παλαιοντολογία
Tides;Παλίρροιες
Factors influencing development;Παράγοντες που επηρεάζουν την ανάπτυξη
Glass production;Παραγωγή γυαλιού
Energy production and energy resources research;Παραγωγή ενέργειας και έρευνα ενεργειακών πόρων
Electricity generation/National Grid;Παραγωγή ηλεκτρικής ενέργειας / Εθνικό Δίκτυο
Obtaining and using materials;Παραγωγή και χρήση υλικών
Ceramics production;Παραγωγή κεραμικών
Wood production;Παραγωγή ξύλου
Paper production;Παραγωγή χαρτιού
Particle beam parameters ;Παράμετροι σωματιδίων δέσμης
Parasite;παράσιτο
Mains electricity - generally;Παροχές ηλεκτρισμού - γενικά
Fields;Πεδία
Plain ;πεδιάδα
Digestive System;Πεπτικό Σύστημα
Environment;Περιβάλλον
Environment ;Περιβάλλον
Environmental issues;Περιβαλλοντικά θέματα
Environmental causes of variation;Περιβαλλοντικές αιτίες της διαφοροποίησης
Environmental Education;Περιβαλλοντική Εκπαίδευση
Environmental education ;Περιβαλλοντική εκπαίδευση
Environmental protection;Περιβαλλοντική προστασία
Diffraction;Περίθλαση
Periodic table;Περιοδικός πίνακας
Period;περίοδος
More economically developed countries;Περισσότερο οικονομικά ανεπτυγμένες χώρες
Rotation;περιστροφή
Regional scale;Περιφερειακή κλίμακα
Oil ;Πετρέλαιο
Energy resources;Πηγές ενέργειας
Sound sources;Πηγές ήχου
Sources of resources;Πηγές πόρων
Jets;Πίδακες
Pressure;πίεση
Gas pressure and diffusion;Πίεση αερίων και διάχυση
Reference Frame;Πλαίσιο αναφοράς
Planets;Πλανήτες
Planetary nebula;Πλανητικό νεφέλωμα
Plastics/polymers;Πλαστικά / πολυμερή
Wave amplitude;Πλάτος κύματος
Population change;Πληθυσμιακή μεταβολή
Population & resources;Πληθυσμός & πόροι
Space-Time Information;Πληροφορίες χώρου-χρόνου
Drinking water;Πόσιμο νερό
Rivers;Ποτάμια
Bird;Πουλιά
Projection;Προβολή
Goods & services;Προϊόντα & Υπηρεσίες
Supply of resources;Προμήθεια πόρων
Sex determination;Προσδιορισμός του φύλου
Environmental protection ;Προστασία του περιβάλλοντος
First scientific revolution;Πρώτη Επιστημονική Επανάσταση
Density;Πυκνότητα
Nuclear force;Πυρηνική δύναμη
Nuclear energy ;πυρηνική ενέργεια
Nuclear physics;πυρηνική φυσική
Nuclear power plant ;Πυρηνικός σταθμός ηλεκτροπαραγωγής
Radioactivity;Ραδιοενέργεια
Radio waves;Ραδιοκύματα
Root hair;Ριζικά τριχίδια
Robotics;Ρομποτική
Watercourse;Ρυάκια
Watercourse ;Ρυάκια
Reaction rates;Ρυθμοί αντίδρασης
Inflation;Ρυθμός ανάπτυξης
Pollution ;Ρύπανση
Reactivity series;Σειρά δραστικότητας
Seismic waves;Σεισμικά κύματα
Earthquakes;Σεισμοί
seismology;σεισμολογία
Aurora;Σέλας
Moon;Σελήνη
Melting/boiling points;Σημεία τήξης/ βρασμού
Skeleton and muscles;Σκελετός και  μύες
Dark energy;Σκοτεινή ενέργεια
Dark matter;Σκοτεινή ύλη
Dark matter ;Σκοτεινή Ύλη
Spiral galaxy;Σπειροειδής γαλαξίας
Sperm;Σπέρμα
Vertebrate;σπονδυλωτά
Seeds;Σπόροι
Statistical mechanics;Στατιστική μηχανική
Solids, liquids and gases;Στερεά, υγρά και αέρια
Rigid body;Στερεό σώμα
Elements;στοιχεία
Components in circuits: batteries, etc;Στοιχεία κυκλωμάτων: μπαταρίες, κ.λπ.
Stomach;στομάχι
Stomach acid and bile;Στομαχικό οξύ και χολή
stratum;στρώμα
Writing ad press;Συγγραφή και Τύπος
Liver;συκώτι
Space-time symmetries ;Συμμετρίες χώρου-χρόνου
Universe – generally;Σύμπαν - γενικά
Combining forces;Σύνθεση δυνάμεων
Integumentary System;Σύστημα Integumentary
Wave frequency;Συχνότητα κύματος
Globes;Σφαίρες
Planning & management of resources;Σχεδιασμός & διαχείριση πόρων
Particle theory;Σωματιδιακή θεωρία
Particle cosmology ;Σωματιδιακή Κοσμολογία
Higgs particle ;Σωματίδιο Higgs
Oscillations;Ταλαντώσεις
Classifications of economic activity;Ταξινομήσεις των οικονομικών δραστηριοτήτων
Classification/keys;Ταξινόμηση / κλειδιά
Taxonomy;Ταξινομία
Voltage;Τάση
Velocity;Ταχύτητα
Escape velocity;ταχύτητα διαφυγής
Speed in media;Ταχύτητα ήχου
Wave speed;Ταχύτητα κύματος
Tectonic processes;Τεκτονικές διεργασίες
Tectonic hazards & human responses;Τεκτονικός κίνδυνος και ανθρώπινη απόκριση
Sound techniques;Τεχνικές ήχου
Technological applications;Τεχνολογικές εφαρμογές
Telecommunications;Τηλεπικοινωνίες
The ear;Το αυτί
Pitch;Τόνος
Toxin;Τοξίνες
Topical geographical issues;Τοπικά γεωγραφικά ζητήματα
regional geography ;τοπική γεωγραφία
regional language ;τοπική γλώσσα
Local scale;Τοπική κλίμακα
Landscape;τοπίο
Friction;τριβή
Nutrition and digestion - generally;Τροφή και πέψη - γενικά
Food as fuel;Τροφή ως καύσιμη ύλη
Food chains and webs;Τροφικές αλυσίδες
Food chain;τροφική αλυσίδα
Orbit;Τροχιά
Cell types - generally;Τύποι κυττάρων - γενικά
Cell types – other;Τύποι κυττάρων - ειδικά
Types of economic activity;Τύποι οικονομικής δραστηριότητας
Rock types;Τύποι πετρωμάτων
Patterns in reactions;Τύποι χημικών αντιδράσεων
Hydrocarbons;υδρογονάνθρακες
Hydroelectric power plant ;Υδροηλεκτρικός Σταθμός
Ultrasound;Υπέρηχοι
Ultraviolet;Υπεριώδης ακτινοβολία
Supernova;Υπερκαινοφανής
Supersymmetry ;Υπερσυμμετρία
Infrared;Υπέρυθρη ακτινοβολία
Textiles;Υφάσματα
Greenhouse effect ;Φαινόμενο του θερμοκηπίου
Pharmaceutics;Φαρμακευτική
Phases;Φάσεις
Phases of the Moon;Φάσεις της Σελήνης
Phase;φάση
Atomic Absorption Spectroscopy;Φασματοσκοπία ατομικής απορρόφησης
Charge;Φορτίο
Leaf;φύλλο
Physical patterns;Φυσικά πρότυπα
Physical processes;Φυσικές διεργασίες
Physical changes;Φυσικές μεταβολές
Physical constants ;Φυσικές σταθερές
Physics;Φυσική
High Energy Physics;Φυσική Υψηλών Ενεργειών
Natural phenomenon ;Φυσικό φαινόμενο
