Science;Luonnon-tieteet
Calorimeters ;Kalorimetrit
International scale;Kansainvälinen mittakaava
National scale;Kansallinen mittakaava
cartography;kartanpiirustus
Atlases;Kartastot
Maps & plans;Kartat & kaavat
Plant nutrition and growth;Kasvien ravinnonsaanti ja kasvu
Greenhouse effect ;Kasvihuoneilmiö
Plants;Kasvit
Botany ;Kasvitiede
Catalysts;Katalyytit
Catastrophe ;Katastrofi
Factors influencing development;Kehitykseen vaikuttavat tekijät
Development & quality of life;Kehitys & elämänlaatu
Chemistry;Kemia
Chemical Kinetics;Kemiallinen kinetiikka
Chemical Thermodynamics;Kemiallinen termodynamiikka
Chemical changes;Kemialliset muutokset
Fieldwork equipment;Kenttätyövälineet
Kepler's laws;Keplerin lait
Ceramics production;Keraamisten tuotteiden valmistus
stratum;kerros
Deposition;Kerrostuminen
Central field;Keskeiskenttä
Education for sustainable development ;Kestävää kehitystä edistävä kasvatus
Tongue;Kieli
Recycling ;Kierrätys
Spiral galaxy;Kierteisgalaksi
Orbit;Kiertorata
Accelerators;Kiihdyttimet
Accelerators & beams ;Kiihdyttimet & sädekimput
Acceleration;Kiihtyvyys
Accelerometers;Kiihtyvyysmittarit
Solid State Chemistry;Kiinteän olomuodon kemia
Writing ad press;Kirjoitus ja kirjapaino
Friction;Kitka
Useful substances from rocks and minerals;Kivestä ja mineraaleista saatavat hyödylliset aineet
Useful substances from rocks & minerals;Kivistä & mineraaleista saatavat hyödylliset aineet
Rock types;Kivityypit
Cloning, selective breeding and genetic engineering;Kloonaus, valintajalostus ja geenitekniikka
Domestic appliances;Kodinkoneet
Comets and meteors;Komeetat ja meteorit
Metal complexes;Kompleksiyhdisteet
Machines;Koneet
Conservative force field;Konservatiivinen voimakenttä
Coordinates;Koordinaatit
The ear;Korva
Displacement reactions;Korvausreaktiot
Cosmic background radiation;Kosminen taustasäteily
Cosmic rays;Kosmiset säteet
Cosmology;Kosmologia
Domestic animal;Kotieläin
Covalent bonds;Kovalenssisidokset
Crater;Kraatteri
Chromatography;Kromatografia
Chromosomes;Kromosomit
Tissues;Kudokset
Kuiper belt objects;Kuiperin vyöhykkeen kappaleet
Flower;Kukka
Flowering plants/parts of plants;Kukkivat kasvit/kasvien osat
Angular acceleration;Kulmakiihtyvyys
Angular velocity;Kulmanopeus
Weathering;Kuluminen
Moon;Kuu
Menstrual cycle;Kuukautiskierto
Hearing - generally;Kuuleminen – yleisesti
Hearing: noise;Kuuleminen: melu
Audible ranges;Kuuluvuusalueet
Phases of the Moon;Kuun vaiheet
Lunar eclipse;Kuunpimennys
Quantum Chemistry;Kvanttikemia
QCD, jets & gluons ;Kvanttiväridynamiikka, suihkut & gluonit
Quarks & hadrons ;Kvarkit & hadronit
Quasars;Kvasaarit
Coupled Motion dynamics ;Kytketyn liikkeen dynamiikka
Laboratory glassware;Laboratorion lasiesineet
Laboratory measuring instruments, including sensors and meters;Laboratorion mittalaitteet, ml. sensorit ja mittarit
Laboratory equipment – generally;Laboratoriovälineet – yleisesti
Temperature and heat;Lämötila ja lämpö
Thermometers;Lämpömittarit
Glass production;Lasinvalmistus
Leaf;Lehti
Invariant mass ;Lepomassa
Leptons ;Leptonit
Elämän kulku;Life processes
Valo;Light
Muscles;Lihakset
Kinetic energy;Liike-energia
Conservation of momentum;Liikemäärän säilyminen
Transport (air, water and ground);Liikenne (ilma, vesi ja maa)
Milky Way;Linnunrata
Bird;Lintu
Reproduction;Lisääntyminen
Solubility;Liukoisuus
Parasite;Loinen
Lorentz force;Lorentzin voima
Luminescent;Luminesenssi
Classification/keys;Luokittelu/avaimet
Organic Agriculture;Luomuviljely
Natural population change;Luonnollinen väestönmuutos
Natural phenomenon ;Luonnonilmiö
National park ;Luonnonpuisto
Natural resources;Luonnonvarat
Natural resources ;Luonnonvarat
Effects of resource use;Luonnonvarojen käytön vaikutukset
Sources of resources;Luonnonvarojen lähteet
Supply of resources;Luonnonvarojen toimitus
Skeleton and muscles;Luusto ja lihakset
Origin and evolution of the universe;Maailmankaikkeuden alkuperä ja kehittyminen
Universe – generally;Maailmankaikkeus –  yleisesti
Near-earth objects;Maan lähelle tulevat kappaleet
Landforms;Maan muodot
Extraterrestrial life;Maan ulkopuolinen elämä
Earthquakes;Maanjäristykset
Land use;Maankäyttö
Geography and Earth Science;Maantiede ja geotieteet
Earth;Maapallo
Soil influences on ecosystems;Maaperän vaikutus ekosysteemeihin
Rural settlements;Maaseutuasutus
Magnetic field;Magneettikenttä
Magnetic force;Magneettinen voima
Magnetic materials;Magneettiset aineet
Magnetism - generally;Magnetismi – yleisesti
Stomach acid and bile;Mahahappo ja sappineste
Differences in development within countries;Maiden sisäiset kehityserot
Differences in development between countries;Maiden väliset kehityserot
Landscape;Maisema
Liver;Maksa
Patterns in general;Mallit yleensä
Mass;Massa
Mass;Massa
Mass loss;Massakato
Reptile;Matelija
Properties of materials;Materiaalien ominaisuudet
Grouping materials;Materiaalien ryhmittely
Material Science;Materiaalitiede
Maxwell's equations;Maxwellin yhtälöt
Meiosis;Meioosi
Noise ;Melu
Sea ;Meri
Reactivity series;Metallien sähkökemiallinen jännitesarja
Extraction of metal from ore;Metallin erottaminen malmista
Metal processing;Metallin työstö
Metals - generally;Metallit – yleisesti
Metals – generally;Metallit – yleisesti
Meteor;Meteori
Meteorite;Meteoriitti
Meteorology ;Meteorologia
Forest ;Metsä
Forestry;Metsätalous
Microwaves;Mikroaallot
Microbiology ;Mikrobiologia
Microlensing effect;Mikrolinssi-ilmiö
Micro-organism ;Mikro-organismi
Microscope;Mikroskooppi
Mineral ;Mineraali 
Minerals;Mineraalit
Mineralogy ;Mineralogia
Mitosis;Mitoosi
Molecules – generally;Molekyylit – yleisesti
Moments;Momentit
Monohybrid inheritance;Monohybridiristeytykset
Ova;Munasolut
Formation;Muodostuminen
Plastics/polymers;Muovit/polymeerit
Musical instruments;Musiikki-instrumentit
Black holes;Mustat aukot
Variation – generally;Muuntelu – yleisesti
Genetic causes of variation and mutation;Muuntelun ja mutaatioiden geneettiset syyt
Environmental causes of variation;Muuntelun ympäristösyyt
Other influences on ecosystems;Muut ekosysteemeihin vaikuttavat tekijät
Other geomorphological processes;Muut geomorfologiset prosessit
Other types of bonding;Muut sidostyypit
Migration;Muuttoliike
Variable stars;Muuttuvat tähdet
Vision;Näkö
Visible light;Näkyvä valo
Nanotechnology;Nanoteknologia
Luonnonvarat;Natural resources 
Nautical tools;Navigointivälineet
Neutron stars;Neutronitähdet
Newton's laws;Newtonin lait
Cape;Niemi
Meadow;Niitty
Mammal;Nisäkäs
Velocity;Nopeus
Speed in media;Nopeus eri väliaineissa
Nucleosynthesis;Nukleosynteesi
Observatories;Observatoriot
Materiaalien hankinta ja käyttö;Obtaining and using materials
Oil ;Öljy
Changes of state;Olomuodon muutokset
Optics;Optiikka
Organic Biology;Orgaaninen biologia
Organic Reaction;Orgaaninen reaktio
Organic Polymers;Orgaaniset polymeerit
Orgaaninen kemia;Organic chemistry
Oceania;Oseania
Main sequence;Pääsarja
Local scale;Paikallinen mittakaava
GIS;Paikkatietojärjestelmä
Pressure;Paine
Weight;Paino
Centre of mass;Painopiste
Gravitational force and gravity;Painovoima
Gravitational field;Painovoimakenttä
Everyday materials;Päivittäiset materiaalit
Escape velocity;Pakonopeus
Burning;Palaminen
Reversible reactions;Palautuva reaktio
Palaeontology ;Paleontologia
Globular clusters;Pallomaiset tähtijoukot
Globes;Pallot
Paper production;Paperinvalmistus
Inherited diseases;Perinnölliset sairaudet
Period;Periodi
Inheritance - generally;Periytyminen – yleisesti
Fysikaalinen kemia;Physical chemistry
Dark matter;Pimeä aine
Dark matter ;Pimeä aine
Dark energy;Pimeä energia
Eclipses;Pimennykset
Surface;Pinta
Longitudinal waves;Pitkittäiset aallot
Planets;Planeetat
Planetary nebula;Planetaarinen sumu
North America;Pohjois-Amerikka
Transverse waves;Poikittaiset aallot
Dust;Pöly
Potential;Potentiaali
Potential energy;Potentiaalienergia
Projection;Projektio
Processes in general;Prosessit yleensä
Puberty/adolescence;Puberteetti/nuoruus
Pulsars;Pulsarit
Redshift;Punasiirtymä
Half-life;Puoliintumisaika
Tree;Puu
Wood ;Puu
Wood production;Puuntuotanto
Garden;Puutarha
Gardening;Puutarhanhoito
Rotation;Pyörimisliike
Vertical throw;Pystysuora heittoliike
Radio waves;Radioaallot
Radioaktiivisuus;Radioactivity
Nuclear decay;Radioaktiivinen hajoaminen
Uses of radioactivity, including radioactive dating;Radioaktiivisuuden käyttö, ml. radioaktiivinen ajoitus
Rockets;Raketit
Coasts;Rannikot
Transport and water in plants;Ravinnon ja veden kulku kasveissa
Food chain;Ravintoketju
Food chains and webs;Ravintoketjut ja -verkot
Nutrition and digestion - generally;Ravitsemus ja ruoansulatus – yleisesti
Transport of reactants/products;Reaktanttien/tuotteiden kulku
Patterns in reactions;Reaktiomallit
Reaction rates;Reaktionopeudet
Reactions with metals;Reaktiot metallien kanssa
Aurora;Revontulet
Parallel circuits;Rinnankytkentä
Robotics;Robotiikka
X-rays;Röntgensäteet
Rotation curve;Rotaatiokäyrä
Digestive System;Ruoansulatusjärjestelmä
Food as fuel;Ruoka polttoaineena
Brown dwarfs;Ruskeat kääpiöt
Weather;Sää
Geographical variations in weather & climate;Sään & ilmaston maantieteelliset vaihtelut
Island ;Saari
Pollution ;Saastuminen
Electricity ;Sähkö
Electrical energy ;Sähköenergia
Electric force;Sähköinen voima
Electrochemistry;Sähkökemia
Electric field;Sähkökenttä
Electrical heating and costs;Sähkölämmitys ja sen kustannukset
Electromagnetic field;Sähkömagneettinen kenttä
Electromagnetic spectrum;Sähkömagneettinen spektri
Electromagnetism - generally;Sähkömagnetismi – yleisesti
Electric motors;Sähkömoottorit
Electricity generation/National Grid;Sähkön tuotanto/valtakunnan verkko
Electrostatic phenomena and uses;Sähköstaattiset ilmiöt ja niiden käyttö
Electrostatic forces;Sähköstaattiset voimat
Electrical quantities - generally;Sähkösuureet – yleisesti
Electric charge - generally;Sähkövaraus – yleisesti
Electrical resistance/conductivity;Sähkövastus/sähkön johtavuus
Electric current;Sähkövirta
Conservation and dissipation;Säilyminen ja häviö
Amphibian;Sammakkoeläin
Series circuits;Sarjaankytkentä
Port ;Satama
Radiation;Säteily
Radiation transfer;Säteilyn siirtyminen
Satellites: artificial satellites;Satelliitit: keinotekoiset satelliitit
Satellites: natural satellites;Satelliitit: luonnolliset satelliitit
Satellite images;Satelliittikuvat
Seismic waves;Seismiset aallot
seismology;seismologia
Invertebrate;Selkärangaton
Vertebrate;Selkärankainen
Sensors;Sensorit
Mixtures;Seokset
Bonding – generally;Sidokset – yleisesti
Seeds;Siemenet
Transition metals;Siirtymämetallit
Sperm;Siittiöt
Internal Energy;Sisäenergia
Internal Structure;Sisäinen rakenne
Kiinteät, nestemäiset ja kaasumaiset aineet;Solids, liquids and gases
Cell structure;Solun rakenne
Cell processes - generally;Solun toiminta – yleisesti
Cell types – other;Solutyypit  – muuta
Cell types - generally;Solutyypit  – yleisesti
social geography ;sosiaalimaantiede
Ääni;Sound
Standard model ;Standardimalli
Theory of relativity;Suhteellisuusteoria
Jets;Suihkut
Sex determination;Sukupuolen määräytyminen
Extinction;Sukupuuttoon kuoleminen
Melting/boiling points;Sulamis-/kiehumispisteet
Filtration;Suodatus
Rectilinear motion;Suoraviivainen liike
Supernova;Supernova
Supernova remnants;Supernovajäänne
Supersymmetry ;Supersymmetria
Planning & management of resources;Suunnittelu & luonnonvarojen hallinta
Grand unification ;Suuri yhtenäisteoria
Reproductive system;Suvunjatkamiselimet
Asexual reproduction;Suvuton lisääntyminen
Cardiovascular;Sydämeen ja verisuoniin liittyvä
Heart;Sydän
Synchrontron radiation ;Synkrotronisäteily
Stars;Tähdet
Constellations;Tähdistöt
Interstellar medium;Tähtien välinen aine
Star chart;Tähtikartta
Nebula;Tähtisumu
Astronomy;Tähtitiede
Refraction index;Taitekerroin
Refraction;Taittuminen
Taxonomy;Taksonomia
Changes in distribution of economic activity & their impact;Taloudellisen toiminnan jakautumisessa tapahtuvat muutokset & niiden vaikutus
Classifications of economic activity;Taloudellisen toiminnan luokittelut
Geographical distribution of economic activity;Taloudellisen toiminnan maantieteellinen jakautuminen
Types of economic activity;Taloudellisen toiminnan tyypit
Less economically developed countries;Taloudellisesti vähemmän kehittyneet maat
More economically developed countries;Taloudelliset enemmän kehittyneet maat
Plain ;Tasanko
Background radiation;Taustasäteily
Goods & services;Tavarat & palvelut
Tekniset sovellukset;Technological applications
Textiles;Tekstiilit
Global distribution of tectonic activity;Tektonisen toiminnan maailmanlaajuinen jakautuminen
Tectonic processes;Tektoniset prosessit
Tectonic hazards & human responses;Tektoniset vaaratekijät & ihmisen vastaukset
Industrial devices;Teolliset laitteet
Thermal decomposition;Terminen hajoaminen
Thermodynamic Cycle;Termodynaaminen kierto
Laws of Thermodynamics;Termodynamiikan lait
Thermodynamics;Termodynamiikka
Science: historical and contemporary examples;Tiede: historiallisia ja nykyisiä esimerkkejä
Scientists and inventors;Tiedemiehet ja keksijät
Information transmission, analogue and digital signals;Tiedonsiirto, analogiset ja digitaaliset signaalit
Telecommunications;Tietoliikenne
Density;Tiheys
Density waves;Tiheysaallot
Spatial interpolation;Tilaa koskeva interpolointi
Spatial interactions;Tilaa koskeva vuorovaikutus
Spatial information;Tilaa koskevat tiedot
Spatial heterogeneity;Tilan heterogeenisyys
Spatial transformations;Tilan muunnokset
Spatial properties;Tilan ominaisuudet
Statistical mechanics;Tilastollinen mekaniikka
Distillation;Tislaus
Second scientific revolution;Toinen tieteellinen vallankumous
Toxin;Toksiini
Tieteelliset työvälineet;Tools for science
Volcanoes;Tulivuoret
Volcano ;Tulivuori
Lifecycle of products;Tuotteiden elinkaari
Explorer;Tutkimusmatkailija
Work and power;Työ ja teho
Nitrogenous fertilizers;Typpilannoitteet
Endangered species;Uhanalainen laji
Endangered species ;Uhanalainen laji
Ultrasound;Ultraääni
Ultraviolet;Ultravioletti
Endocrine System;Umpieritysjärjestelmä
Urban settlements;Urbaani asutus
Hyödylliset materiaalit ja tuotteet;Useful materials and products
Renewable energy;Uusiutuva energia
Renewable energy ;Uusiutuva energia
Horizontal throw;Vaakasuora heittoliike
Hazards & human responses;Vaaratekijät & ihmisen vastaukset
Hazards/geomorphological;Vaaratekijät/geomorfologiset
Population & resources;Väestö & luonnonvarat
Population distribution;Väestön jakautuminen
Population change;Väestönmuutos
Phase;Vaihe
Phases;Vaiheet
AC/DC;Vaihtovirta/tasavirta
Light curve;Valokäyrä
Halos;Valokehät
Photography and cinematography;Valokuvaus ja elokuvaus
Properties of light - generally;Valon ominaisuudet – yleisesti
Light sources;Valonlähteet
Ocean ;Valtameri
Free electron lasers;Vapaaelektronilaserit
Oscillations;Värähtely
Charge;Varaus
Charged particle acceleration ;Varautuneiden hiukkasten kiihdytys
Colour;Väri
Muuntelu, periytyminen ja evoluutio;Variation, inheritance and evolution
Stomach;Vatsa
Water cycle;Veden kiertokulku
Circulatory System;Verenkiertojärjestelmä
Blood;Veri
Blood vessels;Verisuonet
Online Laboratories;Verkkolaboratoriot
Mains electricity - generally;Verkkosähkö – yleisesti
Mains electricity safety;Verkkosähkön turvallisuus
Water;Vesi
Water ;Vesi
Water, landscapes & people - general information;Vesi, maisemat & ihmiset – yleistä tietoa
Watercourse;Vesiväylä
Watercourse ;Vesiväylä
Hydroelectric power plant ;Vesivoimalaitos
Reference Frame;Viitekehys
wild animal ;Villi eläin
Components in circuits: batteries, etc;Virtapiirien osat: paristot jne.
Circuits - generally;Virtapiirit – yleisesti
Combining forces;Voimien yhdistäminen
Seasons;Vuodenajat
Mountain;Vuori
Mountain ;Vuori
Tides;Vuorovesi
Aallot;Waves
Nuclear energy ;Ydinenergia
Nuclear physics;Ydinfysiikka
Nuclear force;Ydinvoima
Nuclear power plant ;Ydinvoimalaitos
Compounds - generally;Yhdisteet – yleisesti
Equations and formulae;Yhtälöt ja kaavat
Collision;Yhteentörmäys
Unification ;Yhtenäistäminen
Universal law of gravitation;Yleinen painovoimalaki
Environment;Ympäristö
Environmental issues;Ympäristöasiat
Conflicting demands on environments;Ympäristöihin kohdistuvat vastakkaiset vaatimukset
Environmental Education;Ympäristökasvatus
Environmental education ;Ympäristökasvatus
Environmental protection ;Ympäristönsuojelu
Circular motion;Ympyräliike

