Science;Наука
Electric motors;Електрически двигатели
Electric charge - generally;Електрически заряд - като цяло
Electric current;Електрически ток
Electrical heating and costs;Електрическо отопление и разходи
Electric field;Електрическо поле
Electrical resistance/conductivity;Електрическо съпротивление / проводимост
Electricity ;Електричество
Electricity and magnetism;Електричество и магнетизъм
Electrolysis;Електролиза
Electromagnetism - generally;Електромагнетизъм - обикновено
Electromagnetic spectrum;Електромагнитен спектър
Electromagnetic field;Електромагнитно поле
Electrons – generally;Електрони - общо
Electrostatic forces;Електростатични сили
Electrostatic phenomena and uses;Електростатични явления и приложения
Electrochemistry;Електрохимия
Elements;Елементи
Elliptical galaxy;Елиптична галактика
Endocrine System;Ендокринна система
Energy transfer and storage;Енергиен трансфер и съхранение
Energy resources;Енергийни ресурси
Energy;Енергия
Energy ;Енергия
Energy - using electricity;Енергия - използването на електроенергия
Energy and ecosystems;Енергия и екосистеми
Enzymes;Ензими
Entropy;Ентропия
Epithelial;Епителна
Erosion;Ерозия
Weathering;Ерозия
Natural population change;Естествена промяна на населението
Microlensing effect;Ефект на микро лещи
Effects of resource use;Ефекти от използването на ресурсите
Animal;Животно
Life cycle;Жизнен цикъл
Life processes;Жизнени процеси
Lifecycle of products;Жизнения цикъл на продукти
Mass loss;Загуба на маса
Ampere's law;Закон на Ампер
Coulomb law;Закон на Колумб
Kepler's laws;Закони на Кеплер 
Newton's laws;Законите на Нютон 
Bonding – generally;Залепване - обикновено
Pollution ;Замърсяване
Endangered species;Застрашени видове
Endangered species ;Застрашени видове
Eclipses;Затъмнения
Stars;Звезди
Star chart;Звездна диаграма
Sound;Звук
Sound ;Звук
Audible ranges;Звукови диапазони
Sound techniques;Звукови техники
Earthquakes;Земетресения
Landforms;Земни форми
Earth;Земя
Zodiac;Зодиак
Zodiacal light;Зодиакална светлина
Zoology ;Зоология
Vision;Зрение
Teeth;Зъби
Gamma ray bursts;Избухване на гама лъчи
Extraterrestrial life;Извънземен живот
Extrasolar planets;Извънслънчеви планети
Burning;Изгаряне
Fossil resources - generally;Изкопаеми - като цяло
Fossil fuels;Изкопаеми горива
fossil ;Изкопаемо
Extinction;Измиране
Land use;Използване на земята
exploration of the earth ;Изследване на Земята
Explorer;Изследовател
Hearing - generally;Изслушване - обикновено
Hearing: noise;Изслушване: шум
Light sources;Източници на светлина
Sources of resources;Източници на средства
More economically developed countries;Икономически по-развити страни  
Impulse;Импулс
Refraction index;Индекс на рефракция
Industrial devices;Индустриални устройства
Inertia;Инерция
Tools for science;Инструменти за наука
Insulin;Инсулин
Intergalactic medium;Интергалактическа среда
Inflation;Инфлация
Information transmission, analogue and digital signals;Информационно предаване, аналогови и цифрови сигнали
Infrared;Инфрачервен
Ionic bonds;Йонни връзки
Irregular galaxy;Ирегуларна галактика
History of Science and Technology;История на науката и технологиите
Calorimeters ;Калориметри
Maps & plans;Карти и планове
cartography;Картография
Catalysts;Катализатори
Catastrophe ;Катастрофа
Pitch;Катран
Brown dwarfs;Кафяви джуджета
Quasars;Квазари
Quantum Chemistry;Квантова химия
Quarks & hadrons ;Кварки и адрони
Kinetic energy;Кинетична енергия
Acid rain ;Киселинен дъжд
Acids, alkalis and bases;Киселини, основи и основи
Classification/keys;Класификация / ключове
Classifications of economic activity;Класификация на икономическите дейности
Cell structure;Клетъчна структура
Climate;Климат
Climate ;Климат
Climatic phenomenon ;Климатичен феномен
Climatic influences on ecosystems;Климатични въздействия върху екосистемите
Cloning, selective breeding and genetic engineering;Клониране, селективно размножаване и генно инженерство
Covalent bonds;Ковалентни връзки
Combining forces;Комбиниране на сили
Comets and meteors;Комети и метеори
Components in circuits: batteries, etc;Компоненти в схеми: батерии и т.н.
Conservative force field;Консервативно силово поле
Constellations;Констелации
Coordinates;Координати
Root hair;Корен коса
Escape velocity;Космическа скорост
Space ships;Космически кораби
Cosmic rays;Космически лъчи
Space flight;Космически полет
Space stations;Космически станции
Cosmic background radiation;Космическо фоново лъчение
Cosmology;Космология
Crater;Кратер
Light curve;Крива на блясъка
Blood;Кръв
Blood vessels;Кръвоносни съдове
Circulatory System;Кръвообращение
Circular motion;Кръгови движения
Water cycle;Кръговрат на водата
Globular clusters;Кълбовидни купове
Laboratory glassware;Лабораторна стъклария
Laboratory measuring instruments, including sensors and meters;Лабораторни измервателни инструменти, включително датчици и измервателни уреди
Laboratory equipment – generally;Лабораторно оборудване - общо
Free electron lasers;Лазери със свободни електрони 
Leptons ;Лептони
Forestry;Лесовъдство
Meadow;Ливада
Leaf;Листо
Luminescent;Луминисцентно
Moon;Луна
Lunar eclipse;Лунно затъмнение
Magnetism - generally;Магнетизъм - обикновено
Magnetic force;Магнитна сила
Magnetic materials;Магнитни материали
Magnetic field;Магнитно поле
Mass;Маса
Pendulum;Махало
Foucault pendulum;Махалото на Фуко 
Machines;Машини
Interstellar medium;Междузвездна среда
International scale;Международен мащаб
Menstrual cycle;Менструалния цикъл
Local scale;Местно ниво
Location of settlements;Местоположение на населените места
Metals - generally;Метали - общо
Metals – generally;Метали - общо
Metal complexes;Метални комплекси
Metal processing;Металообработване
Meteor;Метеор
Meteorite;Метеорит
Meteorology ;Метеорология
Processes in general;Методи като цяло
Migration;Миграция
Microbiology ;Микробиология
Microwaves;Микровълни
Micro-organism ;Микроорганизми
Microscope;Микроскоп
Mining;Минен
Mining ;Минен
Mineral ;Минерален
Mineralogy ;Минералогия
Meiosis;Миоза
Mitosis;Митоза
Milky Way;Млечен път
Cell processes - generally;Мобилни процеси - като цяло
Patterns in reactions;Модели в реакции
Patterns in general;Модели като цяло
Brain;Мозък
Molecules – generally;Молекули - общо
Moments;Моменти
Moment of inertia;Моментът на инерция
Monohybrid inheritance;Монохибридно наследство
Sea ;Море
Nautical tools;Морски инструменти
Sound sources;Музикални източници
Musical instruments;Музикални инструменти
Muscles;Мускули
Nebula;Мъглявина
Longitudinal waves;Надлъжни вълни
Pressure;Налягане
Nanotechnology;Нанотехнология
Transverse waves;Напречни вълни
Insect;Насекомо
Urban settlements;Населени места
Population & resources;Население и ресурси
Inherited diseases;Наследствени заболявания
Inheritance - generally;Наследяване - по принцип
Earth science;Наука за земята
Science: historical and contemporary examples;Наука: исторически и съвременни примери
National park ;Национален парк
National scale;Национална скала
Inelastic collision;Нееластичен сблъсък
Inorganic chemistry ;Неорганична химия
Invariant mass ;Непроменлива маса
Nerve;Нерв
Nervous system ;Нервна система
Neutron stars;Неутронни звезди
Cape;Нос
Kuiper belt objects;Обекти от  Пояса на Кайпер 
Environmental Education;Образование за околната среда
Education for sustainable development ;Образование за устойчиво развитие
Reversible reactions;Обратими реакции
Observatories;Обсерватории
Ocean ;Океан
Oceania;Океания
Oxidation and reaction;Окисляване и реакция
Environment;Околна среда
Environment ;Околна среда
Online Laboratories;Онлайн лаборатории
Conservation and dissipation;Опазване и разсейване
Conservation of momentum;Опазване на инерция
Conservation of mass;Опазване на маса
Environmental protection;Опазване на околната среда
Environmental protection ;Опазване на околната среда
Hazards/geomorphological;Опасности / геоморфоложки
Hazards & human responses;Опасности и човешките реакции
Reference Frame;Опорна рамка
Sex determination;Определяне на пола
Optics;Оптика
Orbit;Орбита
Organs;Органи
Organic chemistry;Органична  химия
Organic Biology;Органична биология
Organic Reaction;Органична реакция
Organic Polymers;Органични полимери
Halos;Ореоли
Supernova remnants;Останки от супернова
Island ;Остров
Open clusters;Отворени купове
Deposition;Отлагане
Reflection;Отражение
Palaeontology ;Палеонтология
Pancreas;Панкреас
Parasite;Паразит
Parallel circuits;Паралелни вериги
Particle beam parameters ;Параметри на лъчеви частици
Greenhouse effect ;Парников ефект
Landscape;Пейзаж
Period;Период
Half-life;Период на полуразпад
Periodic table;Периодична таблица
Oil ;Петрол
Writing ad press;Писане на реклама в пресата
Drinking water;Питейна вода
Planetary nebula;Планетарна мъглявина
Planets;Планети
Mountain;Планина
Mountain ;Планина
Planning & management of resources;Планиране и управление на ресурсите
stratum;Пласт
Plastics/polymers;Пластмаси / полимери
Plastics/polymers;Пластмаси/ полимери
Fruit;Плодове
Density;Плътност
Surface;Повърхност
Integumentary System;Покривна система
Plain ;Поле
Useful substances from rocks and minerals;Полезни вещества от скали и минерали
Useful substances from rocks & minerals;Полезни вещества от скалите и минералите
Minerals;Полезни изкопаеми
Useful materials and products;Полезни материали и продукти
Fields;Полета
Uses of radioactivity, including radioactive dating;Ползване на радиоактивност, включително  и на радиоактивни датиране
Obtaining and using materials;Получаване и използване на материали
Potential;Потенциал
Potential energy;Потенциална енергия
Soil influences on ecosystems;Почвените влияния върху екосистемите
Rectilinear motion;Праволинейно движение
Dust;Прах
Transport of reactants/products;Превоз на реагентите / продукти
Transition metals;Преходни метали
Refraction;Пречупване
Tides;Приливи и отливи
Natural phenomenon ;Природен феномен
Natural resources;Природни богатства
Natural resources ;Природни богатства
Environmental causes of variation;Природни причини за промяна
Natural resources ;Природни ресурси
Port ;Пристанище
Environmental issues;Проблеми на околната среда
Conduction, convection and evaporation;Проводимост, конвекция и изпаряване
Projection;Проекция
Energy production and energy resources research;Производство на енергия и изследвания на енергийни ресурси 
Ceramics production;Производство на керамика
Glass production;Производство на стъкло
Paper production;Производство на хартия
Electricity generation/National Grid;Производството на електроенергия /национална мрежа
Origin and evolution of the universe;Произход и еволюция на Вселената
Changes in distribution of economic activity & their impact;Промени в разпределението на икономическата активност и тяхното въздействие
AC/DC;Променлив ток /постоянен ток
Variable stars;Променливи звезди
Population change;Промяна на населението
Changes of state;Промяна на състоянието
Spatial interpolation;Пространствена интерполация
Spatial information;Пространствена информация
Spatial heterogeneity;Пространствена хетерогенност
Spatial interactions;Пространствени взаимодействия
Spatial transformations;Пространствени трансформации
Spatial properties;Пространствени характеристики
Space-Time Information;Пространствено -времева информация
Space-time symmetries ;Пространствено-времеви симетрии
Conflicting demands on environments;Противоречиви изисквания за среда
Einstein ring;Пръстенът на Айнщайн
Bird;Птица
Puberty/adolescence;Пубертетът / юношеството
Pulsars;Пулсари
Desert ;Пустиня
Grand unification ;Пълно уеднаквяване
First scientific revolution;Първа научна революция
Work and power;Работа и мощност
Radiation transfer;Радиационен трансфер
Background radiation;Радиационен фон
Radiation;Радиация
Nuclear decay;Радиоактивно разпадане
Radioactivity;Радиоактивност
Radio waves;Радиовълни
Development & quality of life;Развитие и качество на живот
Breeding;Развъждане
Separation - other;Разделяне - други
Separation - generally;Разделяне - обикновено
Differences in development within countries;Разлики в развитието в рамките на държавите
Differences in development between countries;Различия в развитието между отделните страни
Reflection;Размисъл
Population distribution;Разпределение на населението
Solubility;Разтворимост
Hubble expansion;Разширяване на Хъбъл 
Rockets;Ракети
Plants;Растения
Displacement reactions;Реакции на изместване
Reactions with metals;Реакции с метали
regional language ;Регионален език
Regional scale;Регионален мащаб
regional geography ;Регионална география
Rivers;Реки
X-rays;Рентгенови лъчи
Reproductive system;Репродуктивна система
Recycling ;Рециклиране
Watercourse;Речно корито
Watercourse ;Речно корито
Fish ;Риба
Fishery;Риболов
Robotics;Роботика
Role of electrons in reactions;Ролята на електроните в реакциите
Rotation curve;Ротационна крива
Satellites: natural satellites;Сателити: естествени спътници
Satellites: artificial satellites;Сателити: изкуствени спътници
Satellite images;Сателитни снимки
Collision;Сблъсък
Light;Светлина
Properties of sound - generally;Свойства на звука - като цяло
Properties of materials;Свойства на материалите
Properties of light - generally;Свойства на светлината - като цяло
North America;Северна Америка
Seasons;Сезони
Seismic waves;Сеизмични вълни
seismology;Сеизмология
Settlements: change;Селище: промяна
Settlements: size/character/function;Селище: Размер / знак / функция
Rural settlements;Селски местности
Seeds;Семена
Sensors;Сензори
Series circuits;Серии вериги
Reactivity series;Серии на реактивност 
Senses;Сетива
Lorentz force;Сила на Лоренц 
Loudness;Силен звук
Forces and motion;Сили и движение
Synchrontron radiation ;Синхротронна радиация
Skeleton and muscles;Скелет и мускули
Velocity;Скорост
Speed in media;Скорост в медиите
Wave speed;Скорост на вълната
Escape velocity;Скорост на освобождаване
Weak interactions: electroweak ;Слаби взаимодействия: електрослабо
Weak interactions: quarks & leptons;Слаби взаимодействия: кварки и лептони
Sun;Слънце
Solar activity;Слънчева активност
Solar system;Слънчева система
Sunspots;Слънчеви петна
Solar eclipse;Слънчево затъмнение
Solar-terrestrial relations;Слънчево-земни връзки
Mixtures;Смеси
social geography ;Социална география
Sperm;Сперма
Spiral galaxy;Спирална галактика
Standard model ;Стандартен модел
Statistical mechanics;Статистическа механика
Stimulus and response;Стимул и отговор
Goods & services;Стоки и услуги
Stomach;Стомах
Stomach acid and bile;Стомашна киселина и жлъчка
Less economically developed countries;Страни развити по-малко икономически  
Jets;Струи
Supernova;Супернова
Supersymmetry ;Суперсиметрия
Circuits - generally;Схеми - общо
Compounds - generally;Съединения - общо
Cardiovascular;Сърдечносъдов
Heart;Сърце
States of matter;Състояния на материята
Charge;Такса
Taxonomy;Таксономия-  
наука за класификацията
Solids, liquids and gases;Твърди вещества, течности и газове
Rigid body;Твърдо тяло
Weight;Тегло
Textiles;Текстилни изделия
Tectonic processes;Тектонични движения
Tectonic hazards & human responses;Тектонски опасности и човешките реакции
Telecommunications;Телекомуникации
Temperature and heat;Температура и топлина
Melting/boiling points;Температура на топене / точка на кипене
Reaction rates;Темпо на реакция 
Theory of relativity;Теория на относителността
Fieldwork equipment;Теренно оборудване
Thermal decomposition;Термично разлагане
Thermodynamics;Термодинамика
Thermometers;Термометри
Technological applications;Технологични приложения
Cell types – other;Типове клетки - други
Cell types - generally;Типове клетки - като цяло
Toxin;Токсин
Transport (air, water and ground);Транспорт (въздух, вода и земя)
Transport and water in plants;Транспорт и вода в растенията
Oscillations;Трептения
Friction;Триене
Tissues;Тъкани
Dark energy;Тъмна енергия
Dark matter;Тъмна материя
Dark matter ;Тъмна материя
Unification ;Уеднаквяване
Ultraviolet;Ултравиолетов
Ultrasound;Ултразвук
Universal law of gravitation;Универсален закон за гравитацията
Waste management ;Управление на отпадъците
Equations and formulae;Уравнения и формули
Maxwell's equations;Уравнения на Максуел
Acceleration;Ускорение
Charged particle acceleration ;Ускорение на заредена частица 
Accelerators & beams ;Ускорители и лъчи
The ear;Ухото
Scientists and inventors;Учени и изобретатели
Phase;Фаза
Phases;Фази
Phases of the Moon;Фази на Луната
Factors influencing development;Фактори, влияещи върху развитието
Pharmaceutics;Фармацевтика
Fertilisation;Фертилизация
Physics;Физика
High Energy Physics;Физика на високите енергии
Physical chemistry;Физикохимия
Physical constants ;Физически константи
Physical changes;Физически промени
Physical patterns;Физични модели
Physical processes;Физични процеси
Filtration;Филтриране
Formation;Формиране
Photography and cinematography;Фотография и операторско майсторство
Photosynthesis;Фотосинтеза
Halogens;Халогени
Wave characteristics - generally;Характеристики на вълната - като цяло
Heterocyclic Compounds;Хетероциклени съединения
Chemical Thermodynamics;Химическа термодинамика
Chemical changes;Химически промени
Chemical Kinetics;Химична кинетика
Chemical Reactions;Химични реакции
Solid State Chemistry;Химия на твърдите вещества
Humans and animals;Хора и животни
Horizontal throw;Хоризонтална хвърляне
Nutrition and digestion - generally;Хранене и храносмилане - обикновено
Plant nutrition and growth;Храненето на растенията и растеж
Food as fuel;Храните като гориво
Food chain;Хранителна верига
Food chains and webs;Хранителни вериги и мрежи
Digestive System;Храносмилателна система
Chromatography;Хроматография
Chromosomes;Хромозоми
Flower;Цвете
Colour;Цвят
Central field;Централна  област
Centre of mass;Център на маса
Carbon and nitrogen cycles;Цикли на въглерода и азота
Flowering plants/parts of plants;Цъфтящи растения / части от растения
Horology;Часовникарство
Higgs particle ;Частиците на Хигс 
Redshift;Червено отместване
Liver;Черен дроб
Black holes;Черни дупки
Human patterns;Човешки модели
Human processes;Човешки процеси
Human health: teeth;Човешкото  здравеопазване: зъби
Human health: smoking;Човешкото  здравеопазване: тютюнопушене
Noise ;Шум
Angular velocity;Ъглова скорост
Angular acceleration;Ъглово ускорение
South & Central America;Южна и Централна Америка
Nucleus: protons, neutrons;Ядра: протони, неутрони
Nucleosynthesis;Ядрен синтез
Nuclear energy ;Ядрена енергия
Nuclear force;Ядрена сила
Nuclear physics;Ядрена физика
Nuclear fusion;Ядреният синтез
Nuclear fission;Ядрено делене
Ova;Яйцеклетки

